Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
20/2/15,walking,walking,2015-02-20T11:36:43+05:30,2015-02-20T11:44:35+05:30,472,0.306,677,25
20/2/15,walking,walking,2015-02-20T11:45:00+05:30,2015-02-20T11:47:00+05:30,120,0.085,182,7
20/2/15,walking,walking,2015-02-20T11:55:25+05:30,2015-02-20T12:00:27+05:30,302,0.328,582,27
20/2/15,walking,walking,2015-02-20T12:02:17+05:30,2015-02-20T12:02:47+05:30,30,0.009,20,1
20/2/15,walking,walking,2015-02-20T14:13:08+05:30,2015-02-20T14:14:08+05:30,60,0.019,60,2
20/2/15,walking,walking,2015-02-20T15:40:12+05:30,2015-02-20T15:47:32+05:30,440,0.355,763,29
20/2/15,walking,walking,2015-02-20T16:35:47+05:30,2015-02-20T16:44:48+05:30,541,0.434,932,36
20/2/15,walking,walking,2015-02-20T17:48:35+05:30,2015-02-20T17:49:05+05:30,30,0.009,20,1
21/2/15,walking,walking,2015-02-21T08:43:38+05:30,2015-02-21T08:44:08+05:30,30,0.012,40,1
21/2/15,walking,walking,2015-02-21T13:27:13+05:30,2015-02-21T13:28:13+05:30,60,0.029,91,2
21/2/15,walking,walking,2015-02-21T13:31:17+05:30,2015-02-21T13:33:47+05:30,150,0.070,142,6
21/2/15,walking,walking,2015-02-21T17:37:10+05:30,2015-02-21T17:42:40+05:30,330,0.303,623,25
21/2/15,walking,walking,2015-02-21T17:55:08+05:30,2015-02-21T17:58:37+05:30,209,0.237,318,20
21/2/15,walking,walking,2015-02-21T19:33:50+05:30,2015-02-21T19:37:20+05:30,210,0.146,314,12
22/2/15,walking,walking,2015-02-22T10:48:16+05:30,2015-02-22T10:57:03+05:30,527,0.332,826,27
22/2/15,walking,walking,2015-02-22T11:02:03+05:30,2015-02-22T11:06:33+05:30,270,0.127,273,11
22/2/15,walking,walking,2015-02-22T11:10:46+05:30,2015-02-22T11:15:42+05:30,296,0.319,526,26
22/2/15,walking,walking,2015-02-22T11:16:56+05:30,2015-02-22T11:17:26+05:30,30,0.009,30,1
22/2/15,walking,walking,2015-02-22T17:47:32+05:30,2015-02-22T17:56:39+05:30,547,0.321,1028,27
22/2/15,walking,walking,2015-02-22T18:04:40+05:30,2015-02-22T18:06:40+05:30,120,0.057,122,5
22/2/15,walking,walking,2015-02-22T18:10:02+05:30,2015-02-22T18:12:56+05:30,174,0.217,293,18
22/2/15,walking,walking,2015-02-22T18:16:51+05:30,2015-02-22T18:19:58+05:30,187,0.139,304,12
22/2/15,walking,walking,2015-02-22T18:26:29+05:30,2015-02-22T18:26:59+05:30,30,0.019,61,2
22/2/15,walking,walking,2015-02-22T20:37:53+05:30,2015-02-22T21:04:19+05:30,1586,1.388,3147,115
22/2/15,walking,walking,2015-02-22T21:28:43+05:30,2015-02-22T21:54:23+05:30,1540,1.476,2472,122
22/2/15,walking,walking,2015-02-22T21:54:45+05:30,2015-02-22T22:00:29+05:30,344,0.192,412,16
23/2/15,walking,walking,2015-02-23T08:36:45+05:30,2015-02-23T08:42:57+05:30,372,0.257,314,21
23/2/15,walking,walking,2015-02-23T08:46:29+05:30,2015-02-23T08:53:26+05:30,417,0.265,757,22
23/2/15,walking,walking,2015-02-23T08:59:05+05:30,2015-02-23T09:01:08+05:30,123,0.071,154,6
23/2/15,walking,walking,2015-02-23T12:23:17+05:30,2015-02-23T12:23:47+05:30,30,0.025,81,2
23/2/15,walking,walking,2015-02-23T13:36:20+05:30,2015-02-23T13:48:21+05:30,721,0.594,1275,49
23/2/15,walking,walking,2015-02-23T19:09:34+05:30,2015-02-23T19:10:04+05:30,30,0.009,30,1
23/2/15,walking,walking,2015-02-23T19:21:52+05:30,2015-02-23T19:26:31+05:30,279,0.279,579,23
23/2/15,walking,walking,2015-02-23T19:29:54+05:30,2015-02-23T19:30:55+05:30,61,0.035,112,3
23/2/15,walking,walking,2015-02-23T19:42:40+05:30,2015-02-23T20:06:53+05:30,1453,1.153,1917,95
23/2/15,walking,walking,2015-02-23T21:48:02+05:30,2015-02-23T21:58:04+05:30,602,0.342,1050,28
23/2/15,walking,walking,2015-02-23T22:03:32+05:30,2015-02-23T22:11:32+05:30,480,0.368,790,30
23/2/15,transport,transport,2015-02-23T23:45:53+05:30,2015-02-24T00:02:33+05:30,1000,1.135,0,0
24/2/15,walking,walking,2015-02-24T00:02:33+05:30,2015-02-24T00:11:35+05:30,542,0.405,1006,34
24/2/15,walking,walking,2015-02-24T00:18:04+05:30,2015-02-24T00:19:34+05:30,90,0.053,172,4
24/2/15,transport,transport,2015-02-24T07:17:43+05:30,2015-02-24T07:45:16+05:30,1653,1.077,0,0
24/2/15,walking,walking,2015-02-24T08:19:56+05:30,2015-02-24T08:24:00+05:30,244,0.124,267,10
24/2/15,walking,walking,2015-02-24T10:09:55+05:30,2015-02-24T10:13:48+05:30,233,0.167,311,14
24/2/15,walking,walking,2015-02-24T13:09:01+05:30,2015-02-24T13:16:31+05:30,450,0.245,527,20
24/2/15,walking,walking,2015-02-24T13:31:02+05:30,2015-02-24T13:39:05+05:30,483,0.324,695,27
25/2/15,walking,walking,2015-02-25T06:29:25+05:30,2015-02-25T06:35:29+05:30,364,0.188,419,16
25/2/15,walking,walking,2015-02-25T07:36:19+05:30,2015-02-25T07:51:08+05:30,889,0.526,1129,44
25/2/15,walking,walking,2015-02-25T09:26:26+05:30,2015-02-25T09:26:56+05:30,30,0.016,51,1
25/2/15,walking,walking,2015-02-25T11:10:07+05:30,2015-02-25T11:10:37+05:30,30,0.009,30,1
25/2/15,walking,walking,2015-02-25T13:49:33+05:30,2015-02-25T14:06:22+05:30,1009,0.692,1484,57
25/2/15,walking,walking,2015-02-25T15:34:27+05:30,2015-02-25T15:34:57+05:30,30,0.009,30,1
25/2/15,walking,walking,2015-02-25T18:53:08+05:30,2015-02-25T18:55:08+05:30,120,0.050,162,4
25/2/15,walking,walking,2015-02-25T21:42:49+05:30,2015-02-25T21:57:50+05:30,901,0.604,1295,50
26/2/15,walking,walking,2015-02-26T07:00:11+05:30,2015-02-26T07:00:15+05:30,4,0.001,2,0
26/2/15,walking,walking,2015-02-26T11:25:09+05:30,2015-02-26T11:25:27+05:30,18,0.006,0,0
26/2/15,walking,walking,2015-02-26T11:26:24+05:30,2015-02-26T11:32:33+05:30,369,0.234,623,19
26/2/15,walking,walking,2015-02-26T11:35:24+05:30,2015-02-26T11:36:57+05:30,93,0.045,147,4
26/2/15,walking,walking,2015-02-26T11:45:33+05:30,2015-02-26T11:50:52+05:30,319,0.329,461,27
26/2/15,walking,walking,2015-02-26T17:06:53+05:30,2015-02-26T17:07:23+05:30,30,0.012,40,1
26/2/15,walking,walking,2015-02-26T17:11:08+05:30,2015-02-26T17:15:25+05:30,257,0.330,442,27
26/2/15,walking,walking,2015-02-26T17:19:05+05:30,2015-02-26T17:32:58+05:30,833,0.465,1084,38
26/2/15,walking,walking,2015-02-26T17:35:11+05:30,2015-02-26T17:35:41+05:30,30,0.016,51,1
27/2/15,walking,walking,2015-02-27T07:33:04+05:30,2015-02-27T07:37:08+05:30,244,0.178,381,15
27/2/15,walking,walking,2015-02-27T10:15:37+05:30,2015-02-27T10:21:30+05:30,353,0.249,686,21
27/2/15,walking,walking,2015-02-27T10:38:10+05:30,2015-02-27T10:45:56+05:30,466,0.341,786,28
27/2/15,walking,walking,2015-02-27T13:28:49+05:30,2015-02-27T13:59:34+05:30,1845,1.175,2862,97
27/2/15,transport,transport,2015-02-27T15:47:02+05:30,2015-02-27T15:52:48+05:30,346,1.255,0,0
27/2/15,transport,transport,2015-02-27T15:55:08+05:30,2015-02-27T16:03:40+05:30,512,1.944,0,0
27/2/15,walking,walking,2015-02-27T16:04:14+05:30,2015-02-27T16:06:44+05:30,150,0.137,294,11
27/2/15,transport,transport,2015-02-27T17:26:12+05:30,2015-02-27T17:55:41+05:30,1769,5.442,0,0
27/2/15,transport,transport,2015-02-27T17:58:03+05:30,2015-02-27T18:02:37+05:30,274,1.186,0,0
27/2/15,walking,walking,2015-02-27T18:03:03+05:30,2015-02-27T18:03:41+05:30,38,0.028,90,2
